,model,time
0,resnet_20_lrelu,359.71302404200105
1,resnet_20_silu,365.5002102851868
2,resnet_20_softplus,365.76617850000184
3,resnet_20_relu,376.7516737675839
4,resnet_20_cosx_minus_x,405.4669588329998
5,resnet_20_prelu,406.3345300000001
6,resnet_20_max_x_sigmoid,497.36021783299657
7,resnet_32_silu,533.0018880839998
8,resnet_32_lrelu,540.5402703750005
9,resnet_32_relu,541.6648986670043
10,resnet_32_softplus,547.025621834
11,resnet_32_prelu,608.2152554580025
12,resnet_32_cosx_minus_x,618.640773666004
13,resnet_44_silu,712.8263072920017
14,resnet_32_max_x_sigmoid,717.4761454999971
15,resnet_44_relu,718.2529850410065
16,resnet_44_lrelu,721.6251503750027
17,resnet_44_softplus,734.3536161250013
18,resnet_44_prelu,827.9036749170045
19,resnet_44_cosx_minus_x,833.1031650829973
20,resnet_56_lrelu,849.8355208339999
21,resnet_56_silu,874.195700915996
22,resnet_56_relu,885.5212895000004
23,resnet_56_softplus,889.8994272499986
24,resnet_56_cosx_minus_x,974.9572687919936
25,resnet_44_max_x_sigmoid,985.1205608339952
26,resnet_56_prelu,992.3846608340028
27,resnet_56_max_x_sigmoid,1157.8973690830026
